objective_key,action,Match count,Bridge var.,"Closeness
(ln-gap)",Surprise,row_label
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_outcomes,-0.20458468572154032,0.013059532534325376,0.013059532534325376,0.20292243795628687,add-out | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_pairs,-0.16020773299454097,-0.11688484787026217,-0.11688484787026217,0.11688484787026217,add-pair | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_weighted,-0.1890696005467956,-0.037617924625218485,-0.037617924625218485,4.114238444353164e-05,add-w | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,drop,0.17513168223847386,0.17658104473341563,0.17658104473341563,0.048805124842599086,drop | ci_boundary · top1_top2 · gpt-4-1…
ci_boundary__top1_top2__gpt-4-1106-preview__vs__gpt-4-0125-preview,flip,0.050237216773635296,0.621792610925845,0.621792610925845,-0.21134648595448724,flip | ci_boundary · top1_top2 · gpt-4-1…
kendall_tau__fitted_ranking__T0.5,add_all_outcomes,-0.42537578141098487,0.21829905634196078,0.21829905634196078,0.3895492860150934,add-out | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,add_all_pairs,-0.3939677941386871,-0.027695607658663617,-0.027695607658663617,0.027695607658663617,add-pair | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,add_weighted,-0.4451980015979915,0.13754991361688454,0.13754991361688454,2.6126071886952095e-06,add-w | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,drop,-0.502566407607036,0.14657137633380163,0.14657137633380163,0.13230469361106456,drop | kendall_tau · fitted_ranking · T0…
kendall_tau__fitted_ranking__T0.5,flip,-0.43386349331948587,0.7356847212302944,0.7356847212302944,-0.2528295363628568,flip | kendall_tau · fitted_ranking · T0…
player_uncertainty__gpt-4-1106-preview,add_all_outcomes,-0.027247578604534264,0.20600944241377941,0.20600944241377941,0.27653612600008537,add-out | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,add_all_pairs,0.0351573777355536,0.02276290488662744,0.02276290488662744,-0.02276290488662744,add-pair | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,add_weighted,-0.003887058325212301,0.1424029173385883,0.1424029173385883,0.0006985470061626957,add-w | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,drop,0.22762717152659426,0.39476412672203504,0.39476412672203504,0.00509365009093034,drop | player_uncertainty · gpt-4-1106-p…
player_uncertainty__gpt-4-1106-preview,flip,0.11960073113570693,0.7399243583182673,0.7399243583182673,-0.2395878856741472,flip | player_uncertainty · gpt-4-1106-p…
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_outcomes,-0.20492698832414852,0.012565671568875253,0.012565671568875253,0.20297227465938875,add-out | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_all_pairs,-0.1603934383176548,-0.11734657807314418,-0.11734657807314418,0.11734657807314418,add-pair | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,add_weighted,-0.18951119518819004,-0.03801352182961168,-0.03801352182961168,3.826002278479098e-06,add-w | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,drop,0.17443244002303715,0.17849796045752855,0.17849796045752855,0.04903558073657945,drop | skill_gap · gpt-4-1106-preview · …
skill_gap__gpt-4-1106-preview__vs__gpt-4-0125-preview,flip,0.050096455194562246,0.6238000235708557,0.6238000235708557,-0.21154889588075626,flip | skill_gap · gpt-4-1106-preview · …
trace_uncertainty,add_all_outcomes,-0.4432099464189893,-0.003918980265147075,-0.003918980265147075,0.40969175657337814,add-out | trace_uncertainty
trace_uncertainty,add_all_pairs,-0.4271342371878073,-0.25368399093349914,-0.25368399093349914,0.25368399093349914,add-pair | trace_uncertainty
trace_uncertainty,add_weighted,-0.456059918195325,-0.07601021957248005,-0.07601021957248005,0.18919266204724772,add-w | trace_uncertainty
trace_uncertainty,drop,-0.5575275804411157,-0.018435435741867675,-0.018435435741867675,0.4488661282481301,drop | trace_uncertainty
trace_uncertainty,flip,-0.7514484498029455,0.2746647898406735,0.2746647898406735,-0.11984262076252147,flip | trace_uncertainty
