dataset,feature,Pearson |corr|,Spearman |corr|,Q4-Q1 mean z,Q4-Q1 Cohen d
arena55k,degree,0.3090406410043951,0.3592490842490842,1.0744591315286651,0.9529290685445244
arena55k,bridge_var,0.0708086727475415,0.1099816849816849,0.3097571853936421,0.327788996130431
arena55k,closeness,0.0251621827077474,0.0697802197802197,0.0634921463947698,0.0563507913077571
arena55k,surprise,0.0335916369131465,0.1148351648351648,0.0263239965665542,0.0294000539952837
llm_judge_arena,degree,0.4307811343030951,0.4326514726871449,1.2802507706280473,1.1763476657646044
llm_judge_arena,bridge_var,0.034279237499441,0.0338827838827838,0.0412881350613455,0.0661433447943801
llm_judge_arena,closeness,0.1313040190252149,0.0487179487179487,-0.374551789275407,-0.4075934144689663
llm_judge_arena,surprise,0.1096794013844043,0.0079670329670329,0.2676849326191065,0.3165668696167906
mt_bench_human,degree,0.3349546610836725,0.0285714285714285,-0.3994728704030532,-0.2906921424795402
mt_bench_human,bridge_var,0.5898019267930421,0.7714285714285715,-1.4561060967123345,-1.923243024306272
mt_bench_human,closeness,0.5546061541259212,0.4285714285714285,0.3522585047998511,0.2801988111090078
mt_bench_human,surprise,0.4846755353708049,0.6,-1.4561060967123345,-1.923243024306272
nba_elo_top50,degree,0.2383521857004937,0.0726530612244897,-0.8250943073020913,-0.6428275161676095
nba_elo_top50,bridge_var,0.035030562220683,0.1004081632653061,-0.3069522072871556,-0.2239087315836156
nba_elo_top50,closeness,0.2368982919179869,0.0785114045618247,0.2801374782211718,0.2600147740917665
nba_elo_top50,surprise,0.333457912900892,0.0623769507803121,-0.6622943464737898,-0.510937025502417
tennis_top10_atp,degree,0.803432884501638,0.7818181818181819,1.7562340367340554,3.248435551789961
tennis_top10_atp,bridge_var,0.4357387638204407,0.5272727272727272,-0.7607145495535639,-0.762643273586552
tennis_top10_atp,closeness,0.3070410021337879,0.1393939393939394,-0.2876996856320143,-0.2352394463748316
tennis_top10_atp,surprise,0.1223198855307919,0.0181818181818181,-0.1451836558286774,-0.117860298997163
vision_arena,degree,0.2237949337671298,0.1544117647058823,0.2277924615602236,0.4065490528594818
vision_arena,bridge_var,0.2071201254899596,0.1642156862745098,0.1494884891916029,0.3142973133172665
vision_arena,closeness,0.1712245584940444,0.2352941176470588,-0.3252905057838167,-0.7805858752588161
vision_arena,surprise,0.1487397537360049,0.1789215686274509,0.373747017863674,0.8803738531082597
webdev_arena,degree,0.5087790804783842,0.5769230769230769,1.4102736031672785,1.187965795425483
webdev_arena,bridge_var,0.3815263923425996,0.2637362637362637,1.1369481523053884,0.8763682778605237
webdev_arena,closeness,0.0337657119172484,0.0,0.1515277963532526,0.3205139351368063
webdev_arena,surprise,0.0191004741852223,0.2472527472527472,-0.6184236516149151,-0.9711826049117288
arena55k,skill,0.12590696969050003,0.11236263736263735,0.5795253264364355,0.6567878035839568
llm_judge_arena,skill,0.23295769642767225,0.1852564102564102,0.8142144849245995,0.85909177696133
mt_bench_human,skill,0.9234202131716773,0.7142857142857143,-2.1586916643640914,-20.279967674005565
nba_elo_top50,skill,0.013386104251821001,0.04499399759903961,0.147026297407383,0.10793926793853315
tennis_top10_atp,skill,0.40755125339406006,0.4424242424242424,0.6213595546526564,0.6173870041937823
vision_arena,skill,0.016005033353032362,0.09558823529411767,-0.01733506142190988,-0.026980635353736706
webdev_arena,skill,0.15360486977117224,0.2967032967032967,-0.04403420068873232,-0.05586032511431951
