top_player,outside_player,top_rank,outside_rank,initial_gap,top_ci_lower,top_ci_upper,outside_ci_lower,outside_ci_upper,initial_overlap
UTS,INA,5,9,0.050872554523190755,1030.0368577540512,1073.1364444931332,1025.3963101499596,1060.1020563294298,True
UTS,PHO,5,10,0.07178778737034819,1030.0368577540512,1073.1364444931332,1033.625227873386,1044.6064424354097,True
UTS,UTA,5,11,0.07545223922227967,1030.0368577540512,1073.1364444931332,1032.2623106527108,1044.6961986812896,True
UTS,POR,5,12,0.13918854874442488,1030.0368577540512,1073.1364444931332,1021.7898209324651,1033.0244263836591,True
UTS,HOU,5,13,0.15072820351651314,1030.0368577540512,1073.1364444931332,1019.7519509483685,1031.0530096552864,True
UTS,ROC,5,14,0.15638448592839932,1030.0368577540512,1073.1364444931332,1008.8325595962339,1040.0072072157661,True
UTS,MNL,5,16,0.17463149207276316,1030.0368577540512,1073.1364444931332,1008.7710545807563,1033.7290529674422,True
STL,INA,6,9,0.042415349983392164,1039.7360969346812,1060.4988715013342,1025.3963101499596,1060.1020563294298,True
STL,PHO,6,10,0.0633305828305496,1039.7360969346812,1060.4988715013342,1033.625227873386,1044.6064424354097,True
STL,UTA,6,11,0.06699503468248108,1039.7360969346812,1060.4988715013342,1032.2623106527108,1044.6961986812896,True
STL,ROC,6,14,0.14792728138860073,1039.7360969346812,1060.4988715013342,1008.8325595962339,1040.0072072157661,True
SYR,INA,7,9,0.02047760214829078,1035.1722397678548,1057.4407744040248,1025.3963101499596,1060.1020563294298,True
SYR,PHO,7,10,0.04139283499544821,1035.1722397678548,1057.4407744040248,1033.625227873386,1044.6064424354097,True
SYR,UTA,7,11,0.045057286847379696,1035.1722397678548,1057.4407744040248,1032.2623106527108,1044.6961986812896,True
SYR,ROC,7,14,0.12598953355349934,1035.1722397678548,1057.4407744040248,1008.8325595962339,1040.0072072157661,True
KEN,INA,8,9,0.007210513539619073,1026.4547160333973,1061.5488394395481,1025.3963101499596,1060.1020563294298,True
KEN,PHO,8,10,0.028125746386776507,1026.4547160333973,1061.5488394395481,1033.625227873386,1044.6064424354097,True
KEN,UTA,8,11,0.03179019823870799,1026.4547160333973,1061.5488394395481,1032.2623106527108,1044.6961986812896,True
KEN,POR,8,12,0.0955265077608532,1026.4547160333973,1061.5488394395481,1021.7898209324651,1033.0244263836591,True
KEN,HOU,8,13,0.10706616253294146,1026.4547160333973,1061.5488394395481,1019.7519509483685,1031.0530096552864,True
KEN,ROC,8,14,0.11272244494482764,1026.4547160333973,1061.5488394395481,1008.8325595962339,1040.0072072157661,True
KEN,SEA,8,15,0.12723808605544754,1026.4547160333973,1061.5488394395481,1016.0240665078387,1027.7724500356574,True
KEN,MNL,8,16,0.13096945108919147,1026.4547160333973,1061.5488394395481,1008.7710545807563,1033.7290529674422,True
