dataset_key,dataset_name,k,method,variant,action,candidate_mode,target_top_player,target_outside_player,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid,candidate_probability,_candidate_x,raw_influence
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,0,Andrey Rublev,Stefanos Tsitsipas,0.0,19,reverse,0.0,-0.03337647384720348,0.03337647384720348,0.49493797418248237,-0.49493797418248237,0.016577735467721465,0.0202487950986594,297,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,1,Stefanos Tsitsipas,Andrey Rublev,1.0,19,forward,1.0,-0.03337647384720348,0.03337647384720348,0.5050620258175176,0.4949379741824824,0.01657773546772147,0.0202487950986594,19,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,0,Stefanos Tsitsipas,Andrey Rublev,1.0,11,forward,1.0,-0.06632483631896935,0.06632483631896935,0.5050620258175176,0.4949379741824824,0.01657773546772147,0.0202487950986594,11,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,1,Andrey Rublev,Stefanos Tsitsipas,0.0,11,reverse,0.0,-0.06632483631896935,0.06632483631896935,0.49493797418248237,-0.49493797418248237,0.016577735467721465,0.0202487950986594,289,,,
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,add_pairs,add,all_pairs,Stefanos Tsitsipas,Andrey Rublev,0,Hubert Hurkacz,Andrey Rublev,,313,reverse,0.0,-0.014960903331096554,0.014960903331096554,,,,,71,1.0,[ 0.  0.  0.  0.  1. -1.  0.  0.  0.],-0.014960903331096554
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,add_pairs,add,all_pairs,Stefanos Tsitsipas,Andrey Rublev,1,Andrey Rublev,Hubert Hurkacz,,313,forward,1.0,-0.014960903331096554,0.014960903331096554,,,,,70,1.0,[ 0.  0.  0.  0. -1.  1.  0.  0.  0.],-0.014960903331096554
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,add_outcomes,add,all_outcomes,Stefanos Tsitsipas,Andrey Rublev,0,Andrey Rublev,Stefanos Tsitsipas,,305,forward,1.0,-0.03294836247176587,0.03294836247176587,,,,,54,0.49493797418248237,[-1.  0.  0.  0.  0.  1.  0.  0.  0.],-0.03294836247176587
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,add_outcomes,add,all_outcomes,Stefanos Tsitsipas,Andrey Rublev,1,Stefanos Tsitsipas,Andrey Rublev,,305,reverse,0.0,-0.03294836247176587,0.03294836247176587,,,,,55,0.49493797418248237,[ 1.  0.  0.  0.  0. -1.  0.  0.  0.],-0.03294836247176587
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,add_weighted,add,weighted,Stefanos Tsitsipas,Andrey Rublev,0,Stefanos Tsitsipas,Andrey Rublev,,305,reverse,0.0,-0.016307395774405927,0.016307395774405927,,,,,55,0.49493797418248237,[ 1.  0.  0.  0.  0. -1.  0.  0.  0.],-0.03294836247176587
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,nonci,add_weighted,add,weighted,Stefanos Tsitsipas,Andrey Rublev,1,Andrey Rublev,Stefanos Tsitsipas,,305,forward,1.0,-0.016307395774405927,0.016307395774405927,,,,,54,0.49493797418248237,[-1.  0.  0.  0.  0.  1.  0.  0.  0.],-0.03294836247176587
