rank,competitor,rating,standard_error,ci_lower,ci_upper,ci_method
1,claude-3-5-sonnet-20241022,1000.0,6.456337813767943,987.3458104129908,1012.6541895870092,gao_local
2,claude-3-5-haiku-20241022,884.8597943974523,7.953476051549544,869.2712677845134,900.4483210103913,gao_local
3,o1-mini-2024-09-12,817.8248639101369,6.174480975911819,805.723103574122,829.9266242461517,gao_local
4,o1-2024-12-17,814.7309344448425,9.09267911227504,796.9096108618038,832.5522580278813,gao_local
5,gemini-2.0-flash-thinking-exp-1219,779.6377502489667,6.235401738951961,767.4165874114824,791.8589130864509,gao_local
6,gemini-exp-1206,761.7985965859721,5.284492798304975,751.441181024733,772.1560121472111,gao_local
7,gemini-2.0-flash-exp,717.3991526676843,5.38742981347909,706.839984264028,727.9583210713406,gao_local
8,deepseek-v3,706.3900728493139,8.364825125544108,689.9953168662717,722.7848288323562,gao_local
9,gpt-4o-2024-11-20,702.4629213943856,5.197384888632799,692.2762341988725,712.6496085898985,gao_local
10,qwen-2.5-coder-32b-instruct,648.8520149187651,5.641934381125101,637.7940267286217,659.9100031089085,gao_local
11,gemini-1.5-pro-002,634.4718587528671,5.7179880536598775,623.2648081036634,645.6789094020708,gao_local
12,llama-v3.3-70b-instruct,600.5668266517148,54.6421921384491,493.470098024037,707.6635552793928,gao_local
13,llama-v3.1-405b-instruct,531.7067822879487,19.37629055759176,493.7299506410853,569.683613934812,gao_local
