dataset_key,dataset_name,target_player,rank,rating,ci_lower,ci_upper,standard_error,n_matches,target_quantile
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,2,921.9065107360553,827.342828019992,1016.4701934521187,48.247663458088816,53,0.1
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,5,773.6219245042779,659.5689443305581,887.6749046779977,58.1913652869926,30,0.5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Andrey Rublev,9,707.0663465143072,611.3918883345821,802.7408046940322,48.81439604727079,55,0.9
mt_bench_human,MT-Bench Human Judgments,gpt-4,1,1325.5362128087406,1300.7713364620809,1350.3010891554004,12.635373171140921,1029,0.1
mt_bench_human,MT-Bench Human Judgments,claude-v1,3,1232.8763218973677,1209.9783186109364,1255.7743251837987,11.682869413442123,996,0.5
mt_bench_human,MT-Bench Human Judgments,alpaca-13b,5,1000.0,1000.0,1000.0,0.0,1018,0.9
webdev_arena,WebDev Arena,claude-3-5-haiku-20241022,2,893.6030255185444,874.0927302523146,913.1133207847743,9.954415193403825,1119,0.1
webdev_arena,WebDev Arena,gemini-2.0-flash-exp,7,723.6428667064679,707.9697329935445,739.3160004193913,7.996643732512976,2319,0.5
webdev_arena,WebDev Arena,llama-v3.3-70b-instruct,12,629.402817926069,518.6160641900788,740.189571662059,56.52489260509985,25,0.9
vision_arena,Vision Arena,claude-3-5-sonnet-20240620,3,1114.9029272366813,1105.5366232758574,1124.2692311975052,4.7788143224590405,6774,0.1
vision_arena,Vision Arena,internvl2-26b,9,997.2705214786328,982.7506063796794,1011.790436577586,7.408256076889443,1624,0.5
vision_arena,Vision Arena,llava-v1.6-34b,15,915.734147737084,901.7434072545642,929.7248882196036,7.13826406652209,1823,0.9
llm_judge_arena,Chatbot Arena LLM Judges,claude-1,7,1030.746652815621,1020.2051781194107,1041.2881275118314,5.378402245837234,3483,0.1
llm_judge_arena,Chatbot Arena LLM Judges,gpt-3.5-turbo-1106,33,954.7017640128481,943.7063817683331,965.6971462573631,5.609991985181949,2876,0.5
llm_judge_arena,Chatbot Arena LLM Judges,RWKV-4-Raven-14B,58,783.5452797247137,764.4516163275034,802.6389431219242,9.741844007246453,1017,0.9
arena55k,Chatbot Arena 55k,claude-1,7,1138.8870490516565,1128.7476886103502,1149.0264094929628,5.173238141763958,3978,0.1
arena55k,Chatbot Arena 55k,solar-10.7b-instruct-v1.0,33,1058.5225632159895,1040.9992038289547,1076.0459226030239,8.940653769791991,899,0.5
arena55k,Chatbot Arena 55k,RWKV-4-Raven-14B,58,894.1138797001527,875.9946269475319,912.2331324527735,9.244686583806196,1158,0.9
nba_elo_top50,NBA Elo Top-50 Teams,STL,6,1050.1174842180076,1034.8773219580573,1065.3576464779578,7.775735870741848,2186,0.1
nba_elo_top50,NBA Elo Top-50 Teams,BAL,25,998.7933076606577,981.7181398065591,1015.8684755147564,8.71198041840838,1676,0.5
nba_elo_top50,NBA Elo Top-50 Teams,WAS,45,932.4863532066789,916.9145649684813,948.0581414448766,7.9449359075095,2892,0.9
