dataset_key,dataset_name,direction,target_player,initial_rank,k,n_trials,influence_success_count,rigging_success_count,influence_success_rate,rigging_success_rate,influence_exposures_median,rigging_exposures_median,influence_actions_median,rigging_actions_median,influence_rows_added_median,rigging_rows_added_median,influence_trial_wins,rigging_trial_wins,tied_trials,median_exposure_advantage_rigging_minus_influence,median_action_advantage_rigging_minus_influence,median_rows_added_advantage_rigging_minus_influence
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Novak Djokovic,1,3,5,4,3,0.8,0.6,111.0,120.0,111.0,120.0,111.0,120.0,4,1,0,3.0,3.0,3.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Carlos Alcaraz,2,3,5,5,5,1.0,1.0,52.0,54.0,52.0,54.0,52.0,54.0,5,0,0,6.0,6.0,6.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Daniil Medvedev,3,3,5,5,5,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,5,0,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Jannik Sinner,4,6,5,5,5,1.0,1.0,29.0,29.0,29.0,29.0,29.0,29.0,4,1,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,6,5,5,5,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5,0,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,7,5,5,5,1.0,1.0,14.0,15.0,14.0,15.0,14.0,15.0,3,2,0,1.0,1.0,1.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,6,5,5,5,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5,0,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,7,5,5,5,1.0,1.0,24.0,20.0,24.0,20.0,24.0,20.0,0,5,0,-4.0,-4.0,-4.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Taylor Fritz,7,7,5,5,5,1.0,1.0,18.0,18.0,18.0,18.0,18.0,18.0,4,1,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,5,5,5,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,5,0,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,5,5,5,1.0,1.0,25.0,25.0,25.0,25.0,25.0,25.0,5,0,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,5,5,5,1.0,1.0,52.0,56.0,52.0,56.0,52.0,56.0,4,1,0,5.0,5.0,5.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,5,5,5,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5,0,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,5,5,5,1.0,1.0,24.0,22.0,24.0,22.0,24.0,22.0,4,1,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,5,5,5,1.0,1.0,14.0,14.0,14.0,14.0,14.0,14.0,4,1,0,0.0,0.0,0.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,5,5,5,1.0,1.0,16.0,20.0,16.0,20.0,16.0,20.0,5,0,0,2.0,2.0,2.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,5,5,5,1.0,1.0,14.0,20.0,14.0,20.0,14.0,20.0,5,0,0,2.0,2.0,2.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,5,5,5,1.0,1.0,19.0,23.0,19.0,23.0,19.0,23.0,3,2,0,2.0,2.0,2.0
