dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,influence_pair,pairwise_influence,0,True,3,3,3,5,7,0.038715585409083486
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,rigging,omni_bt_diff,0,True,3,3,3,5,7,-0.28114431575619836
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,influence_pair,pairwise_influence,1,True,2,2,2,5,7,0.036931909778674
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,rigging,omni_bt_diff,1,True,2,2,2,5,7,-0.15978045305961897
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,influence_pair,pairwise_influence,2,True,8,8,8,5,7,0.016164795622452433
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,rigging,omni_bt_diff,2,True,13,13,13,5,7,-0.029515740956809866
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,influence_pair,pairwise_influence,3,True,11,11,11,5,7,0.0003236790430880543
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,rigging,omni_bt_diff,3,True,17,17,17,5,7,-0.10528701360226433
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,influence_pair,pairwise_influence,4,True,4,4,4,5,7,0.03840511237035682
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,demote,6,rigging,omni_bt_diff,4,True,4,4,4,5,7,-0.2189759107493061
